id,timestamp,device_id,temperature,humidity
1,2024-08-01 00:00:00+00:00,device-001,23.75,45.29
2,2024-08-01 00:01:00+00:00,device-001,23.46,46.46
3,2024-08-01 00:02:00+00:00,device-001,23.57,44.51
4,2024-08-01 00:03:00+00:00,device-001,23.54,45.78
5,2024-08-01 00:04:00+00:00,device-001,23.55,46.57
6,2024-08-01 00:05:00+00:00,device-001,24.01,45.54
7,2024-08-01 00:06:00+00:00,device-001,23.49,45.59
8,2024-08-01 00:07:00+00:00,device-001,23.28,45.25
9,2024-08-01 00:08:00+00:00,device-001,24.11,45.35
10,2024-08-01 00:09:00+00:00,device-001,24.14,45.52
11,2024-08-01 00:10:00+00:00,device-001,24.25,45.39
12,2024-08-01 00:11:00+00:00,device-001,24.2,45.58
13,2024-08-01 00:12:00+00:00,device-001,23.83,45.77
14,2024-08-01 00:13:00+00:00,device-001,24.11,45.44
15,2024-08-01 00:14:00+00:00,device-001,24.34,45.12
16,2024-08-01 00:15:00+00:00,device-001,24.14,46.11
17,2024-08-01 00:16:00+00:00,device-001,24.07,44.94
18,2024-08-01 00:17:00+00:00,device-001,24.57,44.74
19,2024-08-01 00:18:00+00:00,device-001,24.23,45.25
20,2024-08-01 00:19:00+00:00,device-001,24.43,45.28
21,2024-08-01 00:20:00+00:00,device-001,24.46,45.6
22,2024-08-01 00:21:00+00:00,device-001,23.74,45.61
23,2024-08-01 00:22:00+00:00,device-001,25.01,43.95
24,2024-08-01 00:23:00+00:00,device-001,24.06,45.32
25,2024-08-01 00:24:00+00:00,device-001,24.02,45.81
26,2024-08-01 00:25:00+00:00,device-001,24.22,45.9
27,2024-08-01 00:26:00+00:00,device-001,24.41,46.14
28,2024-08-01 00:27:00+00:00,device-001,24.27,46.33
29,2024-08-01 00:28:00+00:00,device-001,23.45,45.14
30,2024-08-01 00:29:00+00:00,device-001,24.15,44.91
31,2024-08-01 00:30:00+00:00,device-001,24.54,45.89
32,2024-08-01 00:31:00+00:00,device-001,24.04,46.22
33,2024-08-01 00:32:00+00:00,device-001,24.7,46.35
34,2024-08-01 00:33:00+00:00,device-001,24.81,45.3
35,2024-08-01 00:34:00+00:00,device-001,24.06,46.32
36,2024-08-01 00:35:00+00:00,device-001,24.5,44.16
37,2024-08-01 00:36:00+00:00,device-001,24.89,45.78
38,2024-08-01 00:37:00+00:00,device-001,24.15,45.79
39,2024-08-01 00:38:00+00:00,device-001,24.74,45.33
40,2024-08-01 00:39:00+00:00,device-001,23.94,45.66
41,2024-08-01 00:40:00+00:00,device-001,24.58,44.24
42,2024-08-01 00:41:00+00:00,device-001,24.48,45.08
43,2024-08-01 00:42:00+00:00,device-001,24.63,44.57
44,2024-08-01 00:43:00+00:00,device-001,24.78,45.08
45,2024-08-01 00:44:00+00:00,device-001,23.92,45.39
46,2024-08-01 00:45:00+00:00,device-001,24.5,45.2
47,2024-08-01 00:46:00+00:00,device-001,24.17,44.94
48,2024-08-01 00:47:00+00:00,device-001,24.86,45.05
49,2024-08-01 00:48:00+00:00,device-001,24.44,44.19
50,2024-08-01 00:49:00+00:00,device-001,24.59,44.83
51,2024-08-01 00:50:00+00:00,device-001,24.9,45.43
52,2024-08-01 00:51:00+00:00,device-001,24.97,44.46
53,2024-08-01 00:52:00+00:00,device-001,24.23,45.39
54,2024-08-01 00:53:00+00:00,device-001,24.71,45.68
55,2024-08-01 00:54:00+00:00,device-001,24.36,45.36
56,2024-08-01 00:55:00+00:00,device-001,24.89,45.54
57,2024-08-01 00:56:00+00:00,device-001,24.9,45.52
58,2024-08-01 00:57:00+00:00,device-001,24.48,45.96
59,2024-08-01 00:58:00+00:00,device-001,24.57,45.69
60,2024-08-01 00:59:00+00:00,device-001,24.39,45.33
61,2024-08-01 01:00:00+00:00,device-001,24.78,44.87
62,2024-08-01 01:01:00+00:00,device-001,25.05,45.0
63,2024-08-01 01:02:00+00:00,device-001,24.28,44.99
64,2024-08-01 01:03:00+00:00,device-001,24.76,44.84
65,2024-08-01 01:04:00+00:00,device-001,24.46,45.13
66,2024-08-01 01:05:00+00:00,device-001,24.18,44.56
67,2024-08-01 01:06:00+00:00,device-001,24.46,45.51
68,2024-08-01 01:07:00+00:00,device-001,24.66,45.39
69,2024-08-01 01:08:00+00:00,device-001,24.63,46.31
70,2024-08-01 01:09:00+00:00,device-001,24.59,46.08
71,2024-08-01 01:10:00+00:00,device-001,24.9,45.04
72,2024-08-01 01:11:00+00:00,device-001,24.54,45.01
73,2024-08-01 01:12:00+00:00,device-001,24.61,45.68
74,2024-08-01 01:13:00+00:00,device-001,24.7,45.3
75,2024-08-01 01:14:00+00:00,device-001,24.79,44.95
76,2024-08-01 01:15:00+00:00,device-001,24.75,45.22
77,2024-08-01 01:16:00+00:00,device-001,24.75,45.07
78,2024-08-01 01:17:00+00:00,device-001,24.2,44.89
79,2024-08-01 01:18:00+00:00,device-001,24.78,45.47
80,2024-08-01 01:19:00+00:00,device-001,24.32,45.15
81,2024-08-01 01:20:00+00:00,device-001,25.83,45.79
82,2024-08-01 01:21:00+00:00,device-001,24.77,45.03
83,2024-08-01 01:22:00+00:00,device-001,25.08,44.78
84,2024-08-01 01:23:00+00:00,device-001,25.09,43.12
85,2024-08-01 01:24:00+00:00,device-001,24.62,45.11
86,2024-08-01 01:25:00+00:00,device-001,25.05,46.31
87,2024-08-01 01:26:00+00:00,device-001,25.03,46.03
88,2024-08-01 01:27:00+00:00,device-001,24.77,44.87
89,2024-08-01 01:28:00+00:00,device-001,24.22,45.42
90,2024-08-01 01:29:00+00:00,device-001,24.55,45.0
91,2024-08-01 01:30:00+00:00,device-001,24.76,44.85
92,2024-08-01 01:31:00+00:00,device-001,24.27,44.91
93,2024-08-01 01:32:00+00:00,device-001,25.24,46.08
94,2024-08-01 01:33:00+00:00,device-001,24.75,45.52
95,2024-08-01 01:34:00+00:00,device-001,24.44,45.26
96,2024-08-01 01:35:00+00:00,device-001,25.12,44.38
97,2024-08-01 01:36:00+00:00,device-001,24.84,44.61
98,2024-08-01 01:37:00+00:00,device-001,24.64,44.04
99,2024-08-01 01:38:00+00:00,device-001,24.86,44.68
100,2024-08-01 01:39:00+00:00,device-001,25.11,45.41
101,2024-08-01 01:40:00+00:00,device-001,25.1,44.57
102,2024-08-01 01:41:00+00:00,device-001,24.67,44.27
103,2024-08-01 01:42:00+00:00,device-001,24.49,44.86
104,2024-08-01 01:43:00+00:00,device-001,24.21,45.68
105,2024-08-01 01:44:00+00:00,device-001,24.5,45.15
106,2024-08-01 01:45:00+00:00,device-001,24.44,46.17
107,2024-08-01 01:46:00+00:00,device-001,24.08,44.71
108,2024-08-01 01:47:00+00:00,device-001,24.71,45.27
109,2024-08-01 01:48:00+00:00,device-001,24.92,45.03
110,2024-08-01 01:49:00+00:00,device-001,24.78,44.74
111,2024-08-01 01:50:00+00:00,device-001,25.02,44.47
112,2024-08-01 01:51:00+00:00,device-001,24.46,44.74
113,2024-08-01 01:52:00+00:00,device-001,23.86,45.07
114,2024-08-01 01:53:00+00:00,device-001,24.93,45.08
115,2024-08-01 01:54:00+00:00,device-001,24.34,44.71
116,2024-08-01 01:55:00+00:00,device-001,24.12,43.95
117,2024-08-01 01:56:00+00:00,device-001,24.42,45.66
118,2024-08-01 01:57:00+00:00,device-001,24.58,45.22
119,2024-08-01 01:58:00+00:00,device-001,24.47,45.42
120,2024-08-01 01:59:00+00:00,device-001,23.7,46.51
121,2024-08-01 02:00:00+00:00,device-001,24.81,43.95
122,2024-08-01 02:01:00+00:00,device-001,24.38,44.56
123,2024-08-01 02:02:00+00:00,device-001,24.2,45.54
124,2024-08-01 02:03:00+00:00,device-001,24.48,44.82
125,2024-08-01 02:04:00+00:00,device-001,24.4,43.83
126,2024-08-01 02:05:00+00:00,device-001,24.14,44.35
127,2024-08-01 02:06:00+00:00,device-001,24.9,44.78
128,2024-08-01 02:07:00+00:00,device-001,23.84,43.84
129,2024-08-01 02:08:00+00:00,device-001,24.46,45.36
130,2024-08-01 02:09:00+00:00,device-001,24.16,44.98
131,2024-08-01 02:10:00+00:00,device-001,24.47,45.25
132,2024-08-01 02:11:00+00:00,device-001,24.35,45.01
133,2024-08-01 02:12:00+00:00,device-001,23.88,44.76
134,2024-08-01 02:13:00+00:00,device-001,24.4,44.36
135,2024-08-01 02:14:00+00:00,device-001,24.72,44.89
136,2024-08-01 02:15:00+00:00,device-001,23.9,44.87
137,2024-08-01 02:16:00+00:00,device-001,24.08,44.17
138,2024-08-01 02:17:00+00:00,device-001,24.52,44.39
139,2024-08-01 02:18:00+00:00,device-001,24.08,43.86
140,2024-08-01 02:19:00+00:00,device-001,24.13,44.76
141,2024-08-01 02:20:00+00:00,device-001,24.26,45.04
142,2024-08-01 02:21:00+00:00,device-001,23.77,44.76
143,2024-08-01 02:22:00+00:00,device-001,24.28,45.75
144,2024-08-01 02:23:00+00:00,device-001,23.29,43.74
145,2024-08-01 02:24:00+00:00,device-001,24.02,45.05
146,2024-08-01 02:25:00+00:00,device-001,23.43,44.14
147,2024-08-01 02:26:00+00:00,device-001,23.91,43.99
148,2024-08-01 02:27:00+00:00,device-001,23.68,44.79
149,2024-08-01 02:28:00+00:00,device-001,23.99,44.08
150,2024-08-01 02:29:00+00:00,device-001,23.86,44.83
